Pumppu,Vesi,Ulko,Tuotto,Input,COP,Huomautus
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,25 °C,-25,9.8,4.83,2.03,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,30 °C,-25,10.65,5.63,1.89,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,35 °C,-25,11.5,6.57,1.75,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,40 °C,-25,11.4,7,1.63,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,45 °C,-25,11.3,7.48,1.51,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,50 °C,-25,11.2,7.8,1.44,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,55 °C,-25,11,8.27,1.33,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,60 °C,-25,10.8,8.57,1.26,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,65 °C,-25,10.6,8.88,1.19,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,25 °C,-20,13.3,6.24,2.13,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,30 °C,-20,13.14,6.57,2,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,35 °C,-20,12.97,6.94,1.87,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,40 °C,-20,12.5,7.03,1.78,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,45 °C,-20,12.4,7.46,1.66,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,50 °C,-20,12.3,7.73,1.59,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,55 °C,-20,12.1,7.9,1.53,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,60 °C,-20,11.7,8.54,1.37,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,65 °C,-20,11.5,8.85,1.3,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,25 °C,-15,14.98,6.35,2.36,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,30 °C,-15,14.37,6.62,2.17,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,35 °C,-15,13.76,6.95,1.98,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,40 °C,-15,13.45,7,1.92,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,45 °C,-15,13.1,7.02,1.87,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,50 °C,-15,12.85,7.13,1.8,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,55 °C,-15,12.56,7.55,1.66,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,60 °C,-15,12.26,8.1,1.51,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,65 °C,-15,11.86,8.14,1.46,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,70 °C,-15,10.8,7.99,1.35,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,25 °C,-10,16.2,5.18,3.13,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,30 °C,-10,16.1,5.93,2.72,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,35 °C,-10,16,6.96,2.3,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,40 °C,-10,15.2,6.95,2.19,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,45 °C,-10,14.39,6.95,2.07,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,50 °C,-10,13.89,6.95,2,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,55 °C,-10,13.32,6.95,1.92,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,60 °C,-10,12.86,7.49,1.72,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,65 °C,-10,12.25,7.66,1.6,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,70 °C,-10,11,7.49,1.47,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,75 °C,-10,10.5,7.76,1.35,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,25 °C,-7,16.25,4.69,3.46,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,30 °C,-7,16.13,5.15,3.13,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,35 °C,-7,16,5.71,2.8,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,40 °C,-7,15.6,6.17,2.53,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,45 °C,-7,15.2,6.74,2.26,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,50 °C,-7,14.43,6.77,2.13,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,55 °C,-7,13.81,6.95,1.99,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,60 °C,-7,13.52,7.55,1.79,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,65 °C,-7,13.21,8.01,1.65,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,70 °C,-7,11.85,7.5,1.58,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,75 °C,-7,11.45,8.01,1.43,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,25 °C,-2,16.3,4.25,3.84,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,30 °C,-2,16.15,4.41,3.66,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,35 °C,-2,16,4.59,3.49,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,40 °C,-2,15.8,5.14,3.07,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,45 °C,-2,15.6,5.86,2.66,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,50 °C,-2,15.5,6.19,2.5,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,55 °C,-2,15.4,6.85,2.25,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,60 °C,-2,14.7,6.95,2.12,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,65 °C,-2,13.45,6.94,1.94,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,70 °C,-2,12.05,6.92,1.74,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,75 °C,-2,11.68,6.88,1.7,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,25 °C,2,16.4,3.48,4.71,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,30 °C,2,16.2,3.76,4.31,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,35 °C,2,16,4.1,3.9,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,40 °C,2,16,4.64,3.45,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,45 °C,2,16,5.33,3,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,50 °C,2,16,5.71,2.8,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,55 °C,2,16,6.3,2.54,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,60 °C,2,15.5,6.72,2.31,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,65 °C,2,14.42,6.94,2.08,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,70 °C,2,13.11,6.92,1.89,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,75 °C,2,12.6,6.92,1.82,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,25 °C,7,17.5,3.11,5.63,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,30 °C,7,16.75,3.31,5.06,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,35 °C,7,16,3.55,4.51,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,40 °C,7,16,4,4,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,45 °C,7,16,4.57,3.5,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,50 °C,7,16,4.94,3.24,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,55 °C,7,16,5.52,2.9,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,60 °C,7,16,5.93,2.7,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,65 °C,7,16,6.54,2.45,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,70 °C,7,16,7.55,2.12,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,75 °C,7,16,8.51,1.88,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,25 °C,12,18.52,3.05,6.07,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,30 °C,12,18.15,3.29,5.52,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,35 °C,12,17.77,3.58,4.96,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,40 °C,12,17.59,3.94,4.46,Arvot PEAK taulukosta
